店铺名称,店铺id,,,,,
福缘居酒楼,l8uNm5kgLP4n6eLq,,,,,
userName,userID,startShop,describeShop,loveFood,pinglunTime,
何所夏寒向冬暖,http://www.dianping.com/member/2362446262,40,口味：4.0 环境：3.0 服务：3.0 性价比：3.0,,2020-10-29 16:33,「脆皮大肠」「油淋鸡」「醉虾」「三丝本芹」不吹不黑，先横向比较脆皮大肠，吃过德明饭店、宝中宝，宝中宝更脆一些，感觉我这盘没烤好，并没有比之前吃过的其他老牌店好吃，吹上天的那些点评朋友可能是之前吃过同类型大肠较少，所以才惊为天菜，厚实方面也同样存在部分特薄的问题，不知道为什么网上推的图都是厚的，畏惧排队的朋友，如果是奔着大肠来的，完全可以移步宝中宝食府、德明饭店选择替代品，醉虾很不错，很大只，非常入味，十分新鲜，油淋鸡第一次吃，虽然肉质一般但是，调味不错，三丝本芹中规中矩，总体来看味道不错，但考虑到价位偏贵（大肠78）、环境简陋嘈杂、排队太长，其实我是想打三星半的，但看在醉虾的面子上打个4星吧，以后应该不会特意再来。[薄荷]环境：关于排队工作日5点半朋友排的队，很快排到了，但是要求人到齐才能进，且后续不能填加碗筷。	
Rick5,http://www.dianping.com/member/1600852924,40,口味：4.5 环境：3.0 服务：3.0 性价比：4.0,喜欢的菜： 臭豆腐煎毛豆 脆皮大肠,2020-10-29 14:34,福缘居酒楼位置:杭州上城区河坊街平常日中午11点多去用餐门口已有多人排队等候选擇可和其他人拼桌，就被带位至包厢房间这1圆桌坐了3组客人餐厅生意好「脆皮大肠」大肠处理干净入口外酥内软每桌必点好吃~「东坡肉(块)」肉鹵制很入味肥瘦均匀不错「爆炒腰花」这道菜普通「西湖醋鱼(鲈鱼)」我点的是改用桂鱼去制做（鱼刺较少）但价格会比鲈鱼贵50元，杭帮菜我个人还是吃不惯~「臭豆腐煎毛豆」毛豆及臭豆腐很搭这道菜好吃下饭有点驚艳[薄荷]环境：生意火爆座位之间距离近整体环境普通尤其是洗手间有待改善★餐厅菜式好多总有一款适合你还是可以一试	
liang931,http://www.dianping.com/member/22215961,10,口味：2.0 环境：1.5 服务：1.5 性价比：0.5 人均：151元,喜欢的菜： 马蹄芦笋,2020-10-28 12:25,真的不值得排队！慕名而去，失望失望透顶，排名那么高，一定是我的口味不对口。下午五点半高峰去，等位超过两个半小时。[薄荷]环境：有些拥挤，不是有些，是十分[服务铃]服务：太火爆了，没什么用到服务的地方「脆皮大肠」这是个凉菜！要蘸酱汁，不过我们这道菜上来有的表皮没有那么酥脆「西湖牛肉羹」这个牛肉就有些味道，剩了半盆「醉虾」上来虾确实还蹦跶，腌一腌再吃，主要是酱汁，这个味道偏甜，是甜咸口，这个时间吃生食也是无敌了「醉膏蟹」点评里叫膏蟹，菜单上是醉膏蟹。这个排名那么靠前的菜！性价比最低了，可能真是北方人吃不习惯这口，也是生的蟹子，里边的肉还是冻的，吃完这个千万不要吃热的不然嘴里会巨腥。跟着榜单吃的，真的没吃出来它的好，诚意不推荐！「蛋黄南瓜」不甜，本来中规中矩，反倒让两个生的菜显得特别出众「家常豆腐」不是北方的家常豆腐，它用的好像是内酯豆腐，这个口味也很重，酱味「马蹄芦笋」今天点的最清口的一道菜！	
绝不白薅羊毛.高,http://www.dianping.com/member/913057680,45,口味：4.5 环境：3.0 服务：2.5 性价比：2.5,,2020-10-25 18:53,[薄荷]环境：非常非常本地的小馆子，不至于到苍蝇小馆，那也就是个普通的大排档。毕竟是杭帮菜本地推荐赫赫有名，基本上当天过去，打卡的人很多，真的吃过以后，没太get这个推荐是怎么回事…。关键是很多本地人也觉得好吃…就…好吃是好吃，没到位居榜首？且也没什么服务，价格倒是很合理。[服务铃]服务：我俩两个女生，有专门为游客拼桌的，我们不介意，拼桌了，也顺便看看大家吃什么。「脆皮大肠」这是必点的一道菜。毕竟是首推，体验嘛，确实值得点，还可以，可以点多一份，份量一般般。蘸料像广东烤鸭蘸料「葱油蛏子」这个菜一致收到我俩好评，新鲜！口感鲜爽！份量ok！推荐「西湖牛肉羹」诶嘿，这个菜就有得说了，第一长得就让我觉得很新鲜，我还以为里面是金银花鸡蛋牛肉粒，结果是茶叶+小菜+微微牛肉粒，做成糊汤口感，容易入口，清爽舒服，是我觉得蛮有意思的一道菜，在我眼里挺本地杭棒的，推荐主要我们只有两个人，怕点多了吃不了，还要打包很麻烦。下次有机会再去，叫上闺蜜，一起好好再吃吃	
屏里狐,http://www.dianping.com/member/45533423,45,口味：5.0 环境：4.5 服务：5.0 性价比：4.5,喜欢的菜： 油淋鸡,2020-10-25 18:03,早就在点评上看到福缘居的很多评价了，种草许久，终于在今天晚班时游玩了转塘的花海后赶到位于城站附近的店里。门口等候的人很多，足以证明店家的受欢迎程度，和小伙伴进入后询问服务员，去前台领了号子，等了十来分钟就入座了。根据点评点了油淋鸡，脆皮大肠，蛋黄南瓜和三鲜汤，很快就上桌了。油淋鸡，不愧是特色菜，外皮有点像烤鸭皮，酥脆酥脆的，肉质细嫩但又不失嚼劲和嫩滑，咬一口进嘴没咬几口就感觉顺着喉咙滑下去了，强烈推荐的一道菜！脆皮大肠，应该是先卤后炸，皮脆肉韧，比较适合年轻人或牙口较好的老人。蛋黄南瓜，感觉一般般，并不是很棒，但也并不是很不好吃。三鲜汤，里面料很足，品种也较多，虾，鸡块，发皮，黑木耳，小青菜，等等，汤鲜味美，一道很平常的杭州家常菜，味道也不错，还是不错的店。虽然中间出了一点小状况，但是店家态度很诚恳的解决了，丝毫不影响我和小伙伴用餐的心情。店里用餐人数较多，比较嘈杂，所以环境给了四星半。综上所述。总体来说还是不错的，应该还会再去吧	
superxukai88,http://www.dianping.com/member/15051910,15,口味：3.5 环境：0.5 服务：0.5 性价比：0.5 人均：235元,,2020-10-08 01:18,晚上过来吃的，来的时候有几桌需要等，拿的是A03号单子，见到02号了本来想后面是我们了，没想到还有150号。。。排号系统混乱，好不容易轮到了，前一桌子都没收，菜还堆在那里，就让我们坐过去了，这是要让我们自己收拾的节奏？主要是想吃个西湖醋鱼，其他随便点点，这个脆皮大肠竟然要75块，还好多个空心的，点了五个菜235块，性价比很低哦，服务没有的，环境一塌糊涂，他家厕所还是男女合用的，去上厕所无意看到了后厨，我特么不看还好，看了后厨彻底饱了，最后还亲眼见证了有食客汤里吃出死苍蝇的这么恶心的事，老板只愿意退这个汤的钱，其他还得让那个女顾客买单，人家肯定不愿意啊，发生争执直到我们走还没解决。。他家卫生状况实在堪忧，我就不明白了这样一家要环境一塌糊涂，性价比超级低，服务水准一塌糊涂的店，竟然在杭州开了14年了，还成为了网红上必吃榜，实在无法理解杭州人民。	
简单_85076,http://www.dianping.com/member/123145204,45,口味：4.5 环境：4.5 服务：4.5 性价比：4.5,,2020-10-04 11:50,又是一家网红酒楼五点多就开始排队，而且店等规定人数一定要到齐才可以开桌，店面不是很大但等的人却很多。我们四个人都到齐了才给我们安排，朋友介绍第一来这吃，难得来一次排队就多点了几个招牌菜「脆皮大肠」「干炸臭豆腐」「西湖醋鱼(鲈鱼)」「干煎带鱼」「龙井虾仁」「葱花肉」「香干肉丝」「铁板牛肉」「腐皮青菜」，能吃吧结果还是打包了，特别好吃的大肠醋鱼和铁板牛肉。想去拔草的一定要早去	
大先生,http://www.dianping.com/member/15453747,40,口味：5.0 环境：2.0 服务：2.0 性价比：5.0 人均：80元,喜欢的菜： 脆皮大肠 油淋鸡 醉虾 家常豆腐,2020-10-02 20:43,河坊街上一家老字号餐厅，我当年学驾照体检报名的时候就在旁边，依稀记得那时候教练还请我这里来了个小灶别问我为什么我有这么好的待遇，因为教练是我表姐夫回归正题，时隔十年又回来吃感觉味道还是这么正宗，绝对的杭州苍蝇小馆子，每道菜都是经典，个人最喜欢白切鸡，大肠，菱角芦笋，这次过去排了一个小时队，被抖音炒作红了，个人建议追求环境服务的还是不要来了，会很下头，环境吵杂，性价比很高，包厢三四个，建议提早过去排队	
