景点名称,虎啸峡激流探险漂流,景点位置,杭州市桐庐县钟山乡城下村
用户ID,用户昵称,评论时间,评论内容
55444995,冷月印记,2020-06-30,夏天，当然是玩漂流的季节。桐庐虎啸峡漂流还是第一次来，从南京出发到桐庐站，然后坐车过去差不多40分钟，去之前建议带好泳衣，湿身是在所难免的，毕竟我们要清凉一夏。&#x0A;&#x0A;之前也曾体验过漂流，但大多时间比较短，也就多半个小时吧，而虎啸峡漂流非常独特，漂流河道竟然全长10公里，全程漂流下来的时间大约在90分钟，如果中途再与朋友戏水的话，时间可能更久。当然，这里不限时间，中途漂流至水流平缓的区域可以任意玩耍。&#x0A;&#x0A;整个行程中人的心情大概分为三种情况：刺激-平缓-刺激，尤其是开始的那段最刺激，到中途的时候比较平缓，大家可以互相戏水。虎啸峡漂流还有一个特色，那就是这里的景观非常多样，除了山青水秀外，途中还经过一座古桥，整个人从古桥下穿越而过，这种感觉就像是在乘车小船旅行，惊险刺激之余，四周的景色也让人赏心悦目。
68604451,坐看闲云流水,2020-07-16,盛夏狂欢，首选桐庐虎啸峡漂流。&#x0A;杭城不远，就有一处夏日漂流的避暑圣地——桐庐虎啸峡漂流，驾车两小时便可到达，非常方便。买好票后乘坐景区车抵达漂流的起始点，踏上皮筏，一段刺激的征程即将开始。惊险刺激飙升肾上腺素之余，酣畅淋漓的体验也会将平日积累的压抑不快烟消云散。&#x0A;驾一叶扁舟顺流而下，既有穿激流越险滩的刺激澎湃，又有两岸风光尽收眼底的诗情画意，虽然刺激，却无风险，还能在炎热的夏日里觅得畅爽与凉意。
42984344,麻小薯,2020-07-03,这里每一个坝口处都有工作人员把守着，会助你一臂之力，让漂流来得更猛烈一些……翻卷而来的急流，摇摆不定的皮筏，时刻让你的肾上腺素喷发，体验心跳呼之欲出的感觉，在浪花与水流中尖叫，与“浪”共舞。中途有几处会比较平缓，在悠然自得中猎奇揽胜，让人在惊险刺激中产生与大自然搏击的亲热心情，在这画廊般中的清水中，和小伙伴们一起水里“疯”个够！
1708276,钟鸣a,2020-07-24,无漂流不夏天，桐庐虎啸峡带你嗨翻天！&#x0A;“烧烤”模式的夏天，谁不想来个“湿身尖叫”的爽快夏天，正好赶上周末，和小伙伴来到距离杭州100公里左右的桐庐虎啸峡，驾车2小时，非常方便。一个半小时的漂流时间，有百分之八十的时间都在尖叫声中度过，一个接一个的弯道，一个接一个的落差，大呼过瘾，酣畅淋漓的享受虎啸峡漂流的惊险刺激。
172076628,踏马成歌,2020-07-15,空调WIFI西瓜虽好，却不如来桐庐虎啸峡漂流凉爽&#x0A;在夏日，最刺激的玩水方式莫过于漂流了，驾驭一艘皮划艇，在湍急的水流与浪花里惊叫连连，让夏日的浮躁和工作生活的压力在青山绿水间尽情地释放发泄。&#x0A;十公里时而平缓时而湍急的溪流，260米垂直水位总落差，百万方库容的磅礴水量，呼啸而下，风声浪声在耳畔回荡不绝，爱上漂流，从桐庐虎啸峡开始。
4418365,亚亚头,2020-07-13,炎炎夏日，来到桐庐虎啸峡漂流，给自己一次放纵戏水的机会。&#x0A;峡谷跌宕的洪流让你自由逐浪，蜿蜒高低的峡湾，澎湃汹涌的水流，享受一场夏日久违的湿身大戏。十里漂流一定会让你透心凉，不湿身，那还叫夏天嘛？在大自然中来一场湿身派对，在峡谷间中激流勇进，听滚滚流水声，和属于我们夏天的尖叫。
12060264,lovemyfenghuang,2020-07-07,漂流，惊险刺激，还清凉解，这清爽的感觉简直要上天了！周末来到桐庐虎啸峡激流探险漂流，感受一下山林间的速度与激情。景区位于杭州市桐庐县钟山乡城下村，距离杭州2个小时车程，自驾非常方便。崇山峻岭、峡谷幽深；激流奔腾、声如虎啸；植被茂密、空气怡人，整个漂流体验非常棒，不虚此行！
27808920,临风678,2020-07-05,来到心心念的漂流胜地——桐庐虎啸峡漂流。在入口处买好票之后就坐着景区环保车来到漂流的起始点，在蓝天白云的鸟鸣声中穿越急转回绕的刺激河道，犹如勇士英雄一般开启一段冒险之旅。时而湍急，时而平缓，超级享受“有惊无险”的感觉。有很多是家庭出游漂流的，非常温馨而有爱，乘坐在皮筏里，时而风平浪静，时而急流奔腾，一家人不会感觉到无趣和平淡，漂流之程有多长，快乐之心就有多远。
58323876,笑容陪你闯天下,2020-07-03,🍉天热天闷？就该清凉一夏！&#x0A;&#x0A;🌞为躲避上海的酷热，我和朋友选择了虎啸峡漂流。在江浙沪地区众多漂流里，虎啸峡漂流主打的是刺激与浸入式的体验，可以让游客充分享受与大自然的亲密接触。&#x0A;&#x0A;🚢抵达景区后会有专门的接驳车送上漂流处，之后会有工作人员协助上皮划艇就可以开始漂流了。漂流全程8公里，大约可以漂流一个多小时，一开始从上往下滑就非常刺激，在结束前还得冲下一个2m落差的河道才能抵达终点，直到最后一刻漂流都很nice哦！&#x0A;&#x0A;💧沿途穿过桥洞，享受自然风光，呼吸新鲜空气，洗净肺腑；在急流区享受刺激，在静水区与朋友嬉戏，简直是太赞了！最适合好朋友们组队来避暑了。同行的一些游客，几乎是从头喊到尾，这么刺激的漂流，你不心动么？&#x0A;&#x0A;虎啸峡&#x0A;📍地址：浙江省杭州市桐庐县&#x0A;🚗交通：建议自驾前往；如果选择公共交通工具，上海到桐庐有直达的高铁，大约一小时四十分钟左右可抵达，之后可以打车到景区，大约耗时30多分钟。&#x0A;🎫门票：现场购票180元，网络购票160元（包含景区内上下接送车的费用）&#x0A;📒注意：带凉鞋，着深色衣服；给手机加上防水套。
