店铺名称,店铺id
福缘居酒楼,l8uNm5kgLP4n6eLq
userName,userID,startShop,describeShop,loveFood,pinglunTime,pinglun
小小王炸,http://www.dianping.com/member/160068897,35,口味：4.0 环境：3.5 服务：3.0 性价比：4.0 人均：125元,喜欢的菜： 油淋鸡,2020-12-30   更新于2021-01-05 01:13,看了大众点评和小红书推荐来的，餐厅离杭州东站不是很近，滴滴快车在30元左右。菜很适合上海人，可能江浙沪都吃浓油赤酱吧。本来看了小红书底下的评论还有些忐忑，害怕会是网红店，但是还好，还是比较值得一吃的。⭐️脆皮大肠第一口很惊艳，大肠处理的很干净，表皮很脆，本来以为是热菜，但是菜单上把它放在冷菜第一行时，我看懵了。不过事实上也确实是冷菜，上来的时候就是不温不热的，吃到第4口的时候基本上都冷完了，就变得有些油腻，好在还有个蘸酱可以涮一下。但这菜性价比着实不高。⭐️油淋鸡推荐！推荐！做法跟油爆虾蛮像的，上面铺满葱，一把热油浇下去，葱香味全部逼出来。有人说太油了，拜托拜托，油才香呀。鸡皮是脆的，鸡肉也蛮嫩的，太好吃了呀，59的价格也不贵⭐️醉虾一两22，三两起售，我们点了三两。小河虾还可以，端上来还在跳，甜辣口的，男朋友觉得还不错，我觉得不如黄酒腌的好吃，而且三两好少哦，三下五除二吃完了⭐️东坡肉一块22，一般，跟别家差不多，挺肥的服务：普通酒楼咯，服务员都是阿姨～总的还是推荐的，油淋鸡真的好吃。性价比的话一般般。	
潘达带你吃北京,http://www.dianping.com/member/48000004,45,口味：4.5 环境：3.5 服务：4.5 性价比：4.5,喜欢的菜： 醉虾 脆皮大肠,2020-12-14 23:36,来自晓露的高规格礼遇点餐带我们来了她经常来的一家店也是老牌店了很多人排位环境不是很好那种但也还行如果接受拼桌的话可以少排一会儿给我们点了螃蟹和那个虾脆皮大肠我真的被那个河虾征服太好吃了而且贼嫩小虾米活蹦乱跳还在动强推这个菜真的人间美味💋💋💋	
淘汰小仙女,http://www.dianping.com/member/1518117452,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0 人均：80元,喜欢的菜： 脆皮大肠 醉虾 蛋黄南瓜 三鲜汤,2020-12-03 00:23,跟着同事有肉吃系列💁‍♀️💁‍♀️工作日翘班搭地铁一个小时来约的必吃榜👀👀🌈位置：位于5号线地铁口，出来步行感觉要一公里的样子，位置其实有点不太好找，店铺在外围，在外面绕着找一圈，经验告诉你千万不要跟着导航进小区[服务铃]服务：必吃榜真的人多，店家实行人未到齐不入坐，但后面可以优先排队，还是蛮好的。杭帮菜翻桌率还是很快的「脆皮大肠」必点的一道菜，几乎每桌都会有点。外酥里嫩，后味也没有大肠异味，加上蘸料口感会更丰富「醉虾」第一次吃这样形式的🦐，刚开始属实有点不太敢吃，但再腌一会儿之后就很入味，个头都不大，大小比较均匀但感觉虾的数量还是很多的「三鲜汤」可能是北方人的执念，一定要点一份🥣，里面种类很丰富，量也是很足的。有鸡肉，鱼丸等等还有素菜，整体口感也很丰富「油淋鸡」很常规的一道菜，鸡肉感觉有一丢丢柴「蛋黄南瓜」没有点米饭，他就是主食了！！上菜很烫，恰的时候要注意咯～	
雲飲先生,http://www.dianping.com/member/140454685,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0,喜欢的菜： 脆皮大肠 油淋鸡 蛋黄南瓜,2020-12-24 18:48,🌠店名：福缘居酒楼📍地址：河坊街35号🚇交通：地铁5号线江城路下🕑营业时间：11:00-14:00；16:30-21:00———————————————————————————🌿环境：环境就是普通的大排档的感觉，福字墙面的装饰，胡桃木色的餐桌，大堂桌子还蛮多，但也有四五个包厢	🛎服务：由于是必吃榜上榜餐厅，人很多，但是上菜速度很快，态度也不错	🧆菜品：1️⃣脆皮大肠：可能对它的期望特别高，一上桌就先尝了块，入口还行，脆弹适中；只不过性价比不高，一小碟肠就要💰75，底下还有用小肠充数的2️⃣油淋鸡：鸡肉🍗表皮酥脆，肉质细嫩，酱汁非常鲜美，再加上香葱点缀，滚油浇淋，完全激发出了鸡肉的香味3️⃣八宝油条：油条比一般现吃的要脆一点，然后外面裹上芡汁，芡汁中包含豌豆，火腿丁🍖，豆干等八宝，创意挺好的，味道也不错就是吃多了会腻4️⃣蛋黄南瓜：虽然很常见，但做得比较到位，推荐5️⃣抱腌菜荷包蛋：荷包蛋🍳用的是鹌鹑蛋，抱腌菜个人觉得腌的不太到位～～～～～～～～～～～～～～～～～～～～～～～请记得关注云隐先生哦！带你在杭州吃喝玩乐杭州美食推荐｜杭州旅游攻略｜杭州探店｜杭州网红店｜杭州高颜值餐厅｜杭州必吃打卡地｜杭州杭帮菜餐厅｜杭州美食｜杭州美食我来推｜卤大肠｜传统菜	
食物是解药,http://www.dianping.com/member/101979645,45,口味：5.0 环境：3.5 服务：3.5 性价比：4.5 人均：150元,喜欢的菜： 脆皮大肠 油淋鸡,2020-12-27 18:31,打卡杭州必吃榜🙋最近吃饭频频踩雷，这家店算是唤回了我对点评的热爱。十一点到点已经有很多人排队了，叫号6，要等人齐才能进店，十二点人齐入座。五个人，首单点评top10从头点到尾。「脆皮大肠」夸！果然炸是对肉最大的尊重！丝毫不腻，会怀疑自己是在吃小零嘴。78一份小小一盆，贵但值得！点它！「油淋鸡」第一口吃的它，葱油太香了，鸡皮炸过，恰到好处。「蛋黄南瓜」这道菜怎么做都好吃！他们家的不腻人，赞一个！「醉虾」这个有点点偏甜了，但是活蹦乱跳的虾至少胜在鲜！醉虾，鲜就是王道。（我还是喜欢吃醋味的**）「干炸臭豆腐」蛮臭！不知道为什么这道菜会乱入，但是也光盘了！「嫩菱芦笋」菱角没有了换了马蹄，爽口好吃，光盘+1「葱油蛏子」葱油到位，蛏子肥美，光盘。「八宝油条」口感奇特，但印象并不深了。「爆炒腰花」这个爆炒腰花欠缺了一点，不够“爆炒”，只能算是“洋葱炒腰花”，感觉火候欠缺一点。「干炸响铃」油香四溢，但是有点单调，可能里面夹上肉会更好吃！菜份量不大，上菜很快，五个人迅速光盘，然后又加了一次单。续了「脆皮大肠」「油淋鸡」（重复点的两道真的就是王者）「蒜子炒鳝段」好吃的！黄鳝用的也足！「膏蟹」可以，鲜美拉满！满满的膏啊！「西湖牛肉羹」最后来碗羹收尾，清空桌面，完美一餐！环境拥挤嘈杂但下饭！服务约等于零，请做好心理准备！菜份量不大，请做好多点几道的准备！	
爱欣人士,http://www.dianping.com/member/31511076,40,口味：3.5 环境：3.5 服务：3.5 性价比：4.0 人均：110元,喜欢的菜： 脆皮大肠,2020-12-25 18:20,那天逛完九溪十八涧已经饿到不行，听闻福缘居不错吃，之前就一直想去尝尝，这次就坐着公交晃悠晃悠来到了福缘居。「油淋鸡」鸡的外皮用热油淋过，吃起来有油炸的香气，作为爱吃鸡的广东人，鸡肉是有点柴的，鸡味也不够，而且有个怪怪的味道，也不知道是什么味道，看到评论有人说是虾油，可能是虾油的味道吧。「脆皮大肠」脆皮大肠不会油腻，炸过已经把里面的油脂都“逼”了出来。沾一沾酱汁咸香可口，外酥里嫩，很有嚼劲。「干炸臭豆腐」臭豆腐不像长沙臭豆腐黑黑的充满汁水，它是干的，外皮酥脆，吃的时候小心里面挺烫口的，有辣椒和甜面两种酱可以沾，我们都喜欢辣椒酱。「醉虾」刚上桌的时候虾在里头活蹦乱跳，过了十分钟就不会了。味道以酸辣为主，不过不够鲜甜，也不够入味。应该是为了虾的新鲜没有提前腌制。「东坡肉(块)」毕竟是历史名菜，可以尝尝鲜，肉还是很柴很肥的。[服务铃]服务:这家店的顾客非常多，我们去的时候需要排队，人少的话可以选择拼桌这样会快很多。因为顾客很多所以服务员基本都处于手忙脚乱的状态，大家对服务的要求就不要太高了。	
catrinazhang,http://www.dianping.com/member/6861426,35,口味：3.5 环境：3.5 服务：3.5 性价比：3.5,,2020-12-29 21:41,带着老妈从上海开车来杭州玩，杭州的西湖去过无数次，那就直接导航“南宋御街”，车停附近停车场，近午餐时分一路找寻位于“河坊街”的必吃榜之一的“福禄居”，问了好几个人都不知，最后还是跟着点评上的地址直接导航，不过也不准，因为餐厅门口在建地铁，车辆无法到达，而走路又要乘自动扶梯上下，穿过地下通道返回地面，真的走了很远总算找到。店面与店堂内实在简陋，店内基本满座，好在已有空出等待收拾的桌子，店家一定要等所有人到齐才可以入座，打开点评点了排名靠前的菜，因为生醉虾过敏故没点，本人不吃大肠也从未尝过，但既然是NO.1就尝一块吧，没比较就没发言权，不知道算不算好吃，但绝不会尝第二块。至于其他的菜也没有惊艳，不值特意走那么远的路来品尝。人均70元左右。	
Y、_4935,http://www.dianping.com/member/1137490302,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0,,2020-12-31 23:18,同事聚餐选择的一家店，杭帮菜的必吃榜整体还可以，上菜的速度也很快1⃣️油淋鸡热门推荐菜，个人觉得还不错，鸡肉没有很柴，入味2⃣️醉虾/膏蟹这两个蛮不错的，很喜欢醉虾的味道，膏蟹的膏也很多，这两道菜必点3⃣️片川儿这个一般了些，比较寡淡4⃣️皮皮虾汤这个还不错，很新奇的作坊，第一次吃到皮皮虾在汤里整体蛮适合聚会的，口味也基本没什么雷点，还不错	
Lmyucin,http://www.dianping.com/member/1612586828,40,口味：3.5 环境：3.5 服务：3.5 性价比：3.5 人均：200元,喜欢的菜： 脆皮大肠 油淋鸡,2020-12-31   更新于2021-01-08 11:36,饭点会需要排队！但拼桌可以直接吃的。脆皮大肠一定要尝试，如果觉得味儿大可以吃肠的部分！油淋鸡一定要裹满底下的酱油吃！上汤菠菜一般般，干虾仁很咸，汤味道很淡，没有煮出味儿来。宋嫂鱼羹有点醋酸味儿，没有老头儿的好吃吧…	
兆小石,http://www.dianping.com/member/1385170644,30,口味：3.0 环境：3.0 服务：3.0 性价比：1.5 人均：100元,,2020-12-31 21:44,晚上5点多一点到饭店门面不大，里面生意兴隆，为了不排队选择拼桌，大圆桌，3对人。点了招牌大肠和油淋鸡，份量小价格不便宜，大肠味道很好，外焦里嫩，浆甜甜的。油淋鸡表皮油炸过，味道可以，鸡肉太烂了，没有口感腰花老了，快像肝的口感了，熬豆腐，老婆喝了四碗，评价说，豆腐怎么做都好吃，豆腐里有油渣，榨菜，味道可以，	
