Mek_orz,http://www.dianping.com/member/36950975,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,,2019-11-29 22:18,11月份和同事一起去杭州看秋天的美景，住宿在青之坞的民宿，原来寻寻觅觅美食就在旁边，这家店不仅环境优美像花园似的，而且看着服务员拿上来的菜单，哇都是自己喜欢的，最后两个人选了龙井虾仁，芝士焗南瓜，糖醋里脊，干锅花菜外加桂花酒酿小圆子太好吃了，性价比超高值得推荐
Keepfit_Loseweight,http://www.dianping.com/member/840954584,50,口味：5.0 环境：5.0 服务：4.0 性价比：5.0 人均：120元,喜欢的菜： 糖醋里脊 特级煎卤小牛肋,2019-11-29 19:14,可能还是在北京这座美食荒漠待久了，到杭州来还是蛮期待好吃精致的江浙菜的。果然不负期望，非常满意这家餐厅。这个时节可能游客较少六点左右到的也不用排号，感觉环境挺不错，原木色装扮的自然感，两人桌也很大，可以放下一桌子菜。个人觉得味道最惊艳的是糖醋里脊，酱汁酸酸甜甜真的非常适宜可yssqj，就是肉丁太扎实了。其次喜欢大牛肋，肉质清晰的纹理看起来觉得选料很棒，咸鲜卤味和微甜酱汁层次挺多也蛮和谐的。芦笋是微辣的，调和了其他甜yssqj的肉的油腻。芦荟是因为在北方比较少见，觉得很好吃也很新鲜。南瓜稍微差点特色。总体yssqj味水准很不错，真的很满意。强烈推荐。	
dpuser_7664152121,http://www.dianping.com/member/863114927,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,,2019-11-27 23:39,是比较经典的杭邦菜了，上菜也比较迅速，环境不错。	
peace_,http://www.dianping.com/member/922731287,30,口味：3.0 环境：4.0 服务：3.0 性价比：3.0,,2019-11-26 23:59,杭帮菜，环境还可以的，适合和好朋友慢慢吃着聊着。只是当时的菜可能没点好，整体一般	
想给椰啵画眼线,http://www.dianping.com/member/114153392,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0 人均：70元,喜欢的菜： 腊味煲仔饭 芝士南瓜饼 空心菜,2019-11-26 23:07,吃第二次了。提前在大众点评上取号，坐在靠窗的位置。推荐煲仔饭，超级香也很大份量足料足；卤鸡爪，甜甜的杭帮菜每次必点；这次芝士南瓜的芝士少了点，试了椒麻鸡很好吃，肉很嫩很发一份。空心菜味道也还可以，吃完去了西湖边。第一次来杭州的朋友可以带来吃朴墅哈哈，第一次是妈妈和妹妹来的～还是推荐的。	
一只镇宅喵,http://www.dianping.com/member/916860560,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,,2019-11-25 23:14,是个黄龙附近的网红餐厅了「芝士焗南瓜」味道很甜我不是很喜欢「招牌鲜卤凤爪」正常水准「特级煎卤小牛肋」牛肉放在大骨头上来的牛肉量比较小「人品大爆发」就是个凉菜「啫啫牛蛙」牛蛙量小「黄酒倒笃蒸蟹」使用的梭子蟹肉很多味道鲜美	
王牌先锋,http://www.dianping.com/member/40816968,40,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,,2019-11-25 19:16,网红店，老是看到排队。这次特意晚点来，总算吃上。总体满意。	
思思小妞留长发,http://www.dianping.com/member/102051722,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0 人均：100元,喜欢的菜： 特级煎卤小牛肋 腊味煲仔饭 盐焗手抓羊棒骨,2019-11-22 21:12,来杭州旅游，不懂吃什么就大众点评逛了一下，刚好这家就在住的附近，就去报道了，上菜速度很快，去得比较早不用排队，小牛肋跟羊棒骨最好趁热吃，热的时候吃味道超级好，没有膻味，芝士焗南瓜也是必须点啊，不腻，三个人，吃得超满足，还想点些其他的，留着下次吧！	
我除了会吃也是会饿的,http://www.dianping.com/member/158585058,40,口味：3.0 环境：4.0 服务：4.0 性价比：4.0,,2019-11-22 20:55,中午去的时候比较晚了～但还是有很多人排队～取了个号就去周围逛逛打发时间～逛了很久都没叫到号～打电话一问才知道过了一点半就停止营业的～那为什么还给号？！不死心的等到晚市开门～也许是期待值太高了～菜品什么的都很一般般～椒麻鸡看着香料很多的样子～结果一点不入味～酱鸭和豆腐羹还不错～	
coconutbaby27,http://www.dianping.com/member/819970976,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,,2019-11-21 22:12,去过两次，第一次感觉最棒！每个人一只大闸蟹，个个都很饱满，很鲜，黄也超多！其他每个菜也很好吃，中午去的所以不用排队，印象超好！第二次没预约，排了超长的队一个多小时，太饿了，很多菜也点完了，所以没吃到什么网红菜	
