用户名称,小明很努力吖
微博内容,"['\n                    辛有志关于8.30', <em class=""s-color-red"">直播</em>, <em class=""s-color-red"">退货</em>, '事件的说明', <br/>, <br/>, '8月30日的', <em class=""s-color-red"">直播</em>, '，我与荣耀官方合作售卖手机的过程中。因为手机深受大家欢迎,在过程中， 我们与荣耀官方在沟通时产生了误解，对用户和粉丝产生了影响。非常遗憾，-个小误会酿成了更多误解。我在此向荣耀表示真诚抱歉!', <br/>, <br/>, '1.华为/荣耀一直是我们', <em class=""s-color-red"">直播</em>, '间呼声最高的手机品牌 \u200b  ', <a action-type=""fl_unfold"" href=""//weibo.com/5284969400/JiEc4tkGJ?refer_flag=1001030103_"" target=""_blank"">展开全文<i class=""wbicon"">c</i></a>, ' ']"
用户名称,小明很努力吖
微博内容,"['\n                    辛有志关于8.30', <em class=""s-color-red"">直播</em>, <em class=""s-color-red"">退货</em>, '事件的说明', <br/>, <br/>, '8月30日的', <em class=""s-color-red"">直播</em>, '，我与荣耀官方合作售卖手机的过程中。因为手机深受大家欢迎,在过程中， 我们与荣耀官方在沟通时产生了误解，对用户和粉丝产生了影响。非常遗憾，-个小误会酿成了更多误解。我在此向荣耀表示真诚抱歉!', <br/>, <br/>, '1.华为/荣耀一直是我们', <em class=""s-color-red"">直播</em>, '间呼声最高的手机品牌，我们已合作多次。为感谢荣耀给到我们的货品，我个人也进行了很多补贴。在此,我代表粉丝们感谢荣耀一直以来的支持。', <br/>, <br/>, '2.过去、现在、未来我都会一如既往地支 持每一家优秀的国产品牌。', <br/>, <br/>, '3.基于当晚产生的误会，已经产生的订单，会继续执行', <em class=""s-color-red"">直播</em>, '间的承诺补贴。', <br/>, <br/>, '我们依旧会努力做到承诺,让每一一个用户幸福 。最后,再次感谢荣耀一-直 以来的支持。', <br/>, <br/>, '辛有志', <br/>, <br/>, '2020年9月1日', <a href=""https://s.weibo.com/weibo?q=%23%E8%BE%9B%E9%80%89%E7%9B%B4%E6%92%AD%E5%9F%BA%E5%9C%B0%23"" target=""_blank"">#辛选<em class=""s-color-red"">直播</em>基地#</a>, <a href=""https://s.weibo.com/weibo?q=%23%E8%BE%9B%E6%9C%89%E5%BF%97%E4%B8%A5%E9%80%89%23"" target=""_blank"">#辛有志严选#</a>, ' ', <a href=""//weibo.com/n/%E8%BE%9B%E6%9C%89%E5%BF%97xyz"" target=""_blank"">@辛有志xyz</a>, ' ', <a href=""//weibo.com/n/%E8%BE%9B%E6%9C%89%E5%BF%97%E5%B7%A5%E4%BD%9C%E5%AE%A4"" target=""_blank"">@辛有志工作室</a>, ' ', <a href=""//weibo.com/n/%E8%BE%9B%E9%80%89%E5%AE%98%E6%96%B9%E5%BE%AE%E5%8D%9A"" target=""_blank"">@辛选官方微博</a>, ' ', <a href=""//weibo.com/n/%E5%88%9D%E5%AE%B6%E5%B0%8F%E9%9B%AA"" target=""_blank"">@初家小雪</a>, ' ', <a action-type=""fl_fold"" href=""javascript:void(0);"">收起全文<i class=""wbicon"">d</i></a>, '\n']"
用户名称,一线榜单
微博内容,"['\n                    因赠品问题，', <em class=""s-color-red"">直播</em>, '大佬辛巴号召粉丝', <em class=""s-color-red"">退货</em>, '荣耀手机，计划不再与荣耀手机合作？', <br/>, '从', <em class=""s-color-red"">直播</em>, '内容看，辛巴表示，不合作荣耀手机的原因是荣耀方面不同意购机用户提供耳机赠品，那么自己也将不在为每台荣耀手机提供300元的补贴，尽管自己一直在补贴荣耀手机(真的假的有待考证)，所以只能号召已经购买的粉丝', <em class=""s-color-red"">退货</em>, '了， \u200b  ', <a action-type=""fl_unfold"" href=""//weibo.com/2942774022/JiqCeuyca?refer_flag=1001030103_"" target=""_blank"">展开全文<i class=""wbicon"">c</i></a>, ' ']"
用户名称,一线榜单
微博内容,"['\n                    因赠品问题，', <em class=""s-color-red"">直播</em>, '大佬辛巴号召粉丝', <em class=""s-color-red"">退货</em>, '荣耀手机，计划不再与荣耀手机合作？', <br/>, '从', <em class=""s-color-red"">直播</em>, '内容看，辛巴表示，不合作荣耀手机的原因是荣耀方面不同意购机用户提供耳机赠品，那么自己也将不在为每台荣耀手机提供300元的补贴，尽管自己一直在补贴荣耀手机(真的假的有待考证)，所以只能号召已经购买的粉丝', <em class=""s-color-red"">退货</em>, '了，并透露自己以后将不再与荣耀合作！', <br/>, '据内部人士透露，辛巴要求荣耀附送耳机赠品的行为与之前约定不符，属于临时加戏，荣耀方面自然无法满足，但辛巴违反既定商业行为，本来就是不守诚信的不良行为，还进一步号召粉丝', <em class=""s-color-red"">退货</em>, '，这对其个人的名誉也是非常不利的！', <br/>, '说实话，辛有志与不与荣耀合作，对于荣耀来说都没什么影响，但是辛巴这样利用粉丝号召力，有点过了，毕竟，消费，本来就是消费者的权益，你用自己的影响力把意志强加给粉丝，真的合适吗？！', <br/>, '对此，你怎么看？？？ ', <a action-type=""fl_fold"" href=""javascript:void(0);"">收起全文<i class=""wbicon"">d</i></a>, '\n']"
用户名称,财经网
微博内容,"['\n                    【投票：你退过', <em class=""s-color-red"">直播</em>, '间里买的东西吗？】', <a href=""https://s.weibo.com/weibo?q=%23%E7%9B%B4%E6%92%AD%E5%B8%A6%E8%B4%A7%E9%80%80%E8%B4%A7%E7%8E%87%E9%AB%98%E8%BE%BE70%25%23"" target=""_blank"">#<em class=""s-color-red"">直播</em>带货<em class=""s-color-red"">退货</em>率高达70%#</a>, '2020年上半年，上海市消保委系统受理相关网络购物类投诉30200件，同比上升39.1%。投诉大量集中在网购商品性能、功能与宣传有偏差，订单被取消等问题上。头部主播有时也会出现高达30%的', <em class=""s-color-red"">退货</em>, '率，腰部主播', <em class=""s-color-red"">退货</em>, '率只会更高。同样是', <em class=""s-color-red"">直播</em>, '间十多万 \u200b  ', <a action-type=""fl_unfold"" href=""//weibo.com/1642088277/Jcdpo78pN?refer_flag=1001030103_"" target=""_blank"">展开全文<i class=""wbicon"">c</i></a>, ' ']"
用户名称,财经网
微博内容,"['\n                    【投票：你退过', <em class=""s-color-red"">直播</em>, '间里买的东西吗？】', <a href=""https://s.weibo.com/weibo?q=%23%E7%9B%B4%E6%92%AD%E5%B8%A6%E8%B4%A7%E9%80%80%E8%B4%A7%E7%8E%87%E9%AB%98%E8%BE%BE70%25%23"" target=""_blank"">#<em class=""s-color-red"">直播</em>带货<em class=""s-color-red"">退货</em>率高达70%#</a>, '2020年上半年，上海市消保委系统受理相关网络购物类投诉30200件，同比上升39.1%。投诉大量集中在网购商品性能、功能与宣传有偏差，订单被取消等问题上。头部主播有时也会出现高达30%的', <em class=""s-color-red"">退货</em>, '率，腰部主播', <em class=""s-color-red"">退货</em>, '率只会更高。同样是', <em class=""s-color-red"">直播</em>, '间十多万人的水平，有的主播销售转化率只有其他人的几分之一，正好卡在机构承诺的“保底线”上，但', <em class=""s-color-red"">退货</em>, '率高达60%至70%。 ', <a href=""http://t.cn/A6ymBqTv"" target=""_blank"">你退过<em class=""s-color-red"">直播</em>间里买的东西吗？</a>, ' ', <a action-type=""fl_fold"" href=""javascript:void(0);"">收起全文<i class=""wbicon"">d</i></a>, '\n']"
用户名称,
微博内容,"['而自己的团队里也出现了逆徒而且不止一个，很多仙家粉丝看后都表示说这是报应到了！也该让王小佳尝尝背叛的滋味。王小佳在', <em class=""s-color-red"">直播</em>, '时候说...']"
用户名称,Rabbit每日炸了
微博内容,"['\n', <a href=""https://s.weibo.com/weibo?q=%23%E6%B8%A9%E6%9F%94%E9%87%8E%E7%9D%80%23"" target=""_blank"">#温柔野着#</a>, '朱……阿不，皮老师的欧舒丹代言还在吗？粉丝在', <em class=""s-color-red"">直播</em>, '间公然诅咒另一代言人，id网暴他人，', <em class=""s-color-red"">退货</em>, '行为得到主流媒体报道', <br/>, <br/>, '李涛你觉得皮老师粉丝做的对吗', <img alt=""[思考]"" class=""face"" src=""//img.t.sinajs.cn/t4/appstyle/expression/ext/normal/30/2018new_sikao_org.png"" title=""[思考]""/>, ' \u200b                ']"
用户名称,CC直播
微博内容,"['\n', <a href=""https://s.weibo.com/weibo?q=%23cc%E7%9B%B4%E6%92%AD%23"" target=""_blank"">#cc<em class=""s-color-red"">直播</em>#</a>, <a href=""https://s.weibo.com/weibo/%23Sky%E5%85%89%E9%81%87%23"" target=""_blank"">#Sky光遇#</a>, ' 如果想向先祖', <em class=""s-color-red"">退货</em>, '，你最想退哪一件装扮？', <img alt=""[doge]"" class=""face"" src=""//img.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" title=""[doge]""/>, '（没有的话就夸一夸你最想要的一件装扮', <img alt=""[加油]"" class=""face"" src=""//img.t.sinajs.cn/t4/appstyle/expression/ext/normal/9f/2018new_jiayou_org.png"" title=""[加油]""/>, '） \u200b                ']"
用户名称,漫妮之语
