user,poi,times,lat,lon
0,138,5,40.405245 ,-80.018538
0,5783,4,33.394024 ,-111.939602
0,1681,5,33.395818 ,-111.93961
0,1682,5,33.407162 ,-111.909649
0,5298,5,33.349742 ,-111.966374
0,6974,5,40.445296 ,-79.99323
0,5707,4,33.394126 ,-111.939465
0,7003,3,33.392627 ,-111.940478
0,1643,4,33.392853 ,-111.938975
0,3726,4,33.421269 ,-111.943306
0,3612,3,33.422728 ,-111.951494
0,3722,2,33.419932 ,-111.92321
0,6198,5,33.426046 ,-111.939814
0,1674,5,33.408286 ,-111.916873
0,3673,3,33.422903 ,-111.951761
0,4704,3,33.421910 ,-111.942782
0,3054,5,33.459133 ,-112.091558
0,0,4,40.398074 ,-80.083386
0,2606,3,40.453431 ,-80.010473
0,2608,4,40.484555 ,-79.918921
0,2610,5,40.439778 ,-79.988816
0,63,4,40.390697 ,-80.070806
0,3148,5,33.567186 ,-112.115185
0,1684,5,33.407060 ,-111.954791
0,3670,4,33.424002 ,-111.939687
0,2583,5,40.438453 ,-79.987978
0,7478,4,40.421112 ,-80.066862
1,0,5,40.398074 ,-80.083386
1,4826,2,40.450824 ,-79.933464
1,5728,4,40.380112 ,-80.044515
1,4992,3,36.092320 ,-115.175239
1,7208,2,36.121323 ,-115.174956
1,4727,5,36.112952 ,-115.172589
1,10354,5,36.093065 ,-115.177832
1,4791,5,36.090118 ,-115.172018
2,5506,4,40.450030 ,-79.913892
2,5274,4,40.441188 ,-79.998833
2,7544,3,40.467090 ,-79.964443
2,89,3,40.463402 ,-79.97763
2,10375,5,40.464530 ,-79.966074
2,160,3,40.451445 ,-79.933733
2,0,5,40.398074 ,-80.083386
2,9416,2,40.386132 ,-80.043715
2,13354,5,40.446186 ,-80.012067
2,144,3,40.380192 ,-80.044459
2,10300,3,40.370574 ,-79.982416
2,7,3,40.409435 ,-79.915262
2,13412,3,40.356525 ,-80.051222
2,10451,4,40.475877 ,-79.91957
2,138,2,40.405245 ,-80.018538
2,11215,3,40.427165 ,-80.055702
2,14247,4,40.458283 ,-79.925318
2,11201,4,40.377450 ,-80.040797
2,10330,4,40.459956 ,-79.92427
2,9303,4,40.446124 ,-79.992252
2,2499,3,40.426387 ,-79.967209
2,3,2,40.413496 ,-79.904456
2,6895,3,40.435656 ,-80.065878
2,5316,5,40.447386 ,-80.005325
2,11193,5,40.437696 ,-80.017681
2,14112,4,40.490191 ,-79.904442
2,5246,4,40.446175 ,-80.008277
2,10475,4,40.368716 ,-80.034629
2,11233,4,40.394595 ,-80.021685
2,4644,3,40.450742 ,-79.985538
2,9244,2,40.382674 ,-80.095485
2,9440,3,40.391166 ,-80.07382
2,13379,8,40.489141 ,-79.893087
2,11491,4,40.381079 ,-80.044593
2,1,12,40.408142 ,-80.085174
2,143,3,40.379654 ,-80.044864
2,14424,4,40.351982 ,-80.050826
2,5174,3,40.428919 ,-79.984081
2,5548,3,40.428536 ,-79.971185
2,14566,5,40.450878 ,-79.984233
2,9582,4,40.450319 ,-79.985349
2,59,4,40.432021 ,-79.893834
2,13324,3,40.440092 ,-80.002446
2,13878,3,40.452179 ,-79.982793
2,146,4,40.379825 ,-80.04461
2,2569,4,40.433245 ,-79.923256
2,10758,5,40.443509 ,-79.949591
2,5132,5,40.439248 ,-79.947347
2,2606,4,40.453431 ,-80.010473
2,4809,5,40.444196 ,-79.953445
2,14456,3,40.378300 ,-79.9909
2,14630,4,40.405401 ,-80.030123
2,11221,12,40.357799 ,-80.001092
2,7292,3,40.392197 ,-80.037858
2,13474,9,40.396889 ,-80.035751
2,7542,3,40.460623 ,-79.9269
2,14881,4,40.462957 ,-79.924058
2,14858,3,40.395320 ,-80.034622
2,73,4,40.451485 ,-79.983404
2,8138,5,40.494594 ,-79.933211
2,14972,5,40.441127 ,-80.001457
2,58,3,40.388610 ,-80.049903
2,11131,8,40.381418 ,-80.04418
2,14968,5,40.380726 ,-80.044831
2,14879,3,40.454702 ,-79.946417
2,8235,2,40.459917 ,-79.924723
2,14028,5,40.432571 ,-79.893652
2,2520,3,40.430885 ,-80.006966
2,15117,3,40.389900 ,-80.040662
2,13827,4,40.407708 ,-79.910194
2,15170,3,40.380945 ,-80.044733
2,15265,4,40.438918 ,-79.955306
2,10436,8,40.395508 ,-80.03515
2,11220,6,40.367905 ,-80.036628
2,8999,4,40.429116 ,-79.98172
2,15325,4,40.440764 ,-79.958104
2,10867,4,40.456856 ,-79.936432
2,15612,4,40.451091 ,-79.935079
2,41,4,40.411508 ,-79.955886
2,10873,2,40.408905 ,-79.915605
2,2567,4,40.436432 ,-79.923174
2,129,3,40.462757 ,-79.950674
2,15798,3,40.452098 ,-80.016762
2,5244,10,40.446001 ,-79.9935
2,15041,4,40.429055 ,-79.983139
2,56,4,40.389733 ,-80.04091
2,14461,12,40.442777 ,-79.953151
2,9386,4,40.452144 ,-80.016232
2,13069,6,40.404139 ,-80.030575
2,13701,3,40.451576 ,-79.932843
2,15192,4,40.440478 ,-80.001784
2,141,5,40.394927 ,-80.022017
2,15772,7,40.361802 ,-80.070182
2,12784,5,40.463947 ,-79.93161
2,5728,8,40.380112 ,-80.044515
2,2510,4,40.427165 ,-80.055702
2,15893,4,40.428679 ,-79.982603
2,6876,3,40.450356 ,-79.950848
2,16232,4,40.452138 ,-79.983804
2,9588,4,40.452314 ,-79.981808
2,98,4,40.451201 ,-79.983407
2,13513,4,40.457335 ,-79.975468
2,14076,4,40.451584 ,-80.017124
2,11206,8,40.460423 ,-79.919386
3,2595,5,40.359609 ,-80.002441
3,996,5,33.446195 ,-111.974935
3,11220,4,40.367905 ,-80.036628
3,13622,2,40.445819 ,-80.010855
3,0,4,40.398074 ,-80.083386
3,5728,4,40.380112 ,-80.044515
3,7292,4,40.392197 ,-80.037858
3,142,4,40.383026 ,-80.015345
3,143,4,40.379654 ,-80.044864
3,10449,3,40.392484 ,-80.065824
3,9588,5,40.452314 ,-79.981808
4,55,2,40.412715 ,-80.030335
4,7382,2,40.469063 ,-79.96167
4,2485,5,40.428715 ,-79.982549
4,4644,1,40.450742 ,-79.985538
4,2479,5,40.428426 ,-79.979431
4,13902,4,40.479674 ,-79.955213
4,44,4,40.455157 ,-79.999728
4,57,4,40.396012 ,-80.034727
4,14006,2,40.454154 ,-79.982216
4,14028,5,40.432571 ,-79.893652
4,76,2,40.443207 ,-80.002129
4,108,2,40.441013 ,-80.001982
4,2511,3,40.427045 ,-79.949606
4,14424,5,40.351982 ,-80.050826
4,6789,1,40.441660 ,-79.956852
4,0,3,40.398074 ,-80.083386
4,2593,5,40.433897 ,-80.004275
4,9588,4,40.452314 ,-79.981808
4,13900,3,40.457710 ,-79.925287
4,7071,5,40.462989 ,-79.952101
4,7218,5,40.432273 ,-80.004158
4,126,4,40.465303 ,-79.955933
4,7914,5,40.433155 ,-80.017204
4,13832,5,40.443144 ,-80.001104
4,13281,5,40.472444 ,-79.963129
4,13400,4,40.476176 ,-79.920524
4,46,5,40.444010 ,-79.950361
4,7782,4,40.427892 ,-79.965255
4,9440,4,40.391166 ,-80.07382
4,13090,2,40.434606 ,-79.955467
4,14630,4,40.405401 ,-80.030123
4,12716,4,40.439228 ,-79.989926
4,13354,5,40.446186 ,-80.012067
4,10499,4,40.448902 ,-79.986651
4,7478,4,40.421112 ,-80.066862
4,10614,4,40.480552 ,-79.972303
4,2509,4,40.440277 ,-80.080827
4,13876,5,40.427469 ,-80.052435
4,13581,5,40.465676 ,-79.95558
4,10330,5,40.459956 ,-79.92427
4,123,5,40.465714 ,-79.953504
4,13069,5,40.404139 ,-80.030575
4,14679,5,40.452494 ,-79.981552
4,15117,5,40.389900 ,-80.040662
4,14742,5,40.410389 ,-80.024363
4,2519,4,40.430564 ,-80.007244
4,53,3,40.388562 ,-80.04939
4,59,4,40.432021 ,-79.893834
4,5195,5,40.440219 ,-79.995385
4,131,4,40.464696 ,-79.954145
4,10490,3,40.447182 ,-80.021138
4,9502,4,40.472149 ,-79.95953
4,2475,4,40.470473 ,-79.960431
4,14364,5,40.429882 ,-80.007102
4,2599,5,40.457182 ,-79.991475
4,15029,5,40.470782 ,-79.96025
4,14406,4,40.465725 ,-79.95432
4,2520,3,40.430885 ,-80.006966
4,11227,4,40.429959 ,-80.007322
4,7300,5,40.451649 ,-79.983172
4,14473,5,40.461954 ,-79.950165
4,7822,5,40.462023 ,-79.949179
4,14425,4,40.451625 ,-79.93273
4,165,5,40.451168 ,-79.932774
4,128,3,40.460639 ,-79.94718
4,2579,4,40.435293 ,-79.923154
4,24,5,40.457472 ,-79.910034
4,8240,4,40.390562 ,-80.072422
4,74,4,40.450589 ,-79.984283
4,11201,5,40.377450 ,-80.040797
4,35,4,40.457256 ,-79.925354
4,109,4,40.443890 ,-79.99859
4,13938,4,40.352743 ,-80.051873
4,7292,4,40.392197 ,-80.037858
4,145,3,40.381812 ,-80.044491
4,7966,3,40.443587 ,-79.99653
4,2595,4,40.359609 ,-80.002441
4,12084,4,40.396898 ,-80.035919
4,6974,5,40.445296 ,-79.99323
4,15942,5,40.427849 ,-79.969299
4,7620,9,40.396105 ,-80.0353
4,2589,4,40.439157 ,-79.997819
4,2605,5,40.451223 ,-80.020065
4,11131,4,40.381418 ,-80.04418
4,2614,3,40.433911 ,-80.005324
4,5204,5,40.444444 ,-79.996451
4,106,4,40.445813 ,-79.996222
4,127,5,40.456390 ,-79.941311
4,148,3,40.357213 ,-80.052095
4,6806,4,40.443869 ,-79.995512
4,11968,3,40.445974 ,-80.010851
4,11491,5,40.381079 ,-80.044593
4,15611,3,40.411302 ,-80.007324
4,16139,5,40.443994 ,-79.998282
4,12571,3,40.439553 ,-80.001745
4,15170,5,40.380945 ,-80.044733
4,13539,5,40.440716 ,-80.002579
4,12677,4,40.440995 ,-80.002186
4,11222,4,40.442754 ,-79.998097
4,16145,4,40.405270 ,-80.030238
4,9303,3,40.446124 ,-79.992252
4,8719,2,40.405075 ,-80.030086
4,2601,4,40.439226 ,-80.001725
4,87,5,40.446477 ,-79.991674
4,103,5,40.439839 ,-80.002886
4,15975,5,40.442900 ,-80.000097
4,110,4,40.453427 ,-79.980929
5,0,5,40.398074 ,-80.083386
5,2561,5,40.433884 ,-79.923134
5,9386,4,40.452144 ,-80.016232
5,6832,5,40.460212 ,-79.925355
5,13648,5,40.440745 ,-80.001796
5,2613,2,40.434127 ,-80.00605
5,10519,4,40.482704 ,-79.951942
6,5009,5,36.144045 ,-115.202465
6,14614,4,36.121451 ,-115.169611
6,14448,4,36.114745 ,-115.157157
6,4971,3,36.091884 ,-115.175558
6,10585,3,36.124201 ,-115.16908
6,0,5,40.398074 ,-80.083386
6,4631,4,36.092875 ,-115.176247
6,9201,3,36.093303 ,-115.175408
6,4865,4,36.091863 ,-115.175161
6,10654,4,40.356758 ,-80.051718
6,7844,3,36.090802 ,-115.172781
6,12840,3,36.109823 ,-115.171432
6,3894,3,36.086338 ,-115.15112
6,9536,4,36.072421 ,-115.11687
6,4178,5,36.115161 ,-115.15979
6,5082,2,36.112379 ,-115.174531
7,5125,4,40.392890 ,-80.036802
7,45,4,40.462168 ,-80.019065
7,5548,4,40.428536 ,-79.971185
7,127,4,40.456390 ,-79.941311
7,2515,3,40.481393 ,-79.974185
7,59,4,40.432021 ,-79.893834
7,12444,4,40.473130 ,-79.958894
7,162,5,40.451668 ,-79.932915
7,6884,4,40.452029 ,-79.983565
7,7451,4,40.459102 ,-79.911484
7,2491,5,40.428640 ,-79.983542
7,4999,3,40.467072 ,-79.964125
7,2484,4,40.426230 ,-79.968222
7,2495,3,40.428930 ,-79.986605
7,114,3,40.461186 ,-79.947705
7,5274,2,40.441188 ,-79.998833
7,7966,4,40.443587 ,-79.99653
7,2597,4,40.451613 ,-80.017496
7,14076,4,40.451584 ,-80.017124
7,13570,3,40.429001 ,-79.9828
7,11206,2,40.460423 ,-79.919386
7,57,5,40.396012 ,-80.034727
7,2507,4,40.428953 ,-79.984282
7,13243,5,40.428694 ,-79.984474
7,2498,4,40.428535 ,-79.977217
7,8863,4,40.428703 ,-79.983573
7,2504,5,40.428858 ,-79.990906
7,12464,3,40.438088 ,-79.92192
7,7115,5,40.435189 ,-79.922611
7,0,5,40.398074 ,-80.083386
7,2579,3,40.435293 ,-79.923154
7,5316,5,40.447386 ,-80.005325
7,7898,3,40.445550 ,-80.011337
7,11219,3,40.440453 ,-80.002013
7,2520,5,40.430885 ,-80.006966
7,5215,2,40.428317 ,-79.97751
7,10469,3,40.466679 ,-79.964379
7,2477,4,40.462206 ,-79.964425
7,2493,5,40.428830 ,-79.98674
7,44,4,40.455157 ,-79.999728
7,10626,2,40.452112 ,-79.984164
7,2599,4,40.457182 ,-79.991475
7,15310,5,40.441796 ,-80.002351
7,13474,4,40.396889 ,-80.035751
7,7,4,40.409435 ,-79.915262
7,7300,4,40.451649 ,-79.983172
7,82,5,40.451486 ,-79.982854
7,11130,4,40.440997 ,-80.002219
7,9246,5,40.494678 ,-79.933079
7,2596,4,40.451488 ,-80.018326
7,5071,4,40.421516 ,-80.02973
7,4579,4,40.451531 ,-79.983729
7,9431,5,40.446476 ,-79.992613
7,78,2,40.455915 ,-79.979271
7,11215,5,40.427165 ,-80.055702
7,19,5,40.468872 ,-80.059979
7,12411,5,40.464971 ,-79.961066
7,15104,5,40.454384 ,-79.981477
7,13622,4,40.445819 ,-80.010855
7,15975,2,40.442900 ,-80.000097
7,15893,5,40.428679 ,-79.982603
7,61,5,40.417569 ,-79.887953
7,13678,6,40.425741 ,-79.942019
7,15764,4,40.451843 ,-79.982497
7,15763,4,40.452741 ,-79.982111
7,14776,4,40.450518 ,-79.986456
7,2474,7,40.474513 ,-79.957895
7,10300,3,40.370574 ,-79.982416
7,13379,5,40.489141 ,-79.893087
7,8999,4,40.429116 ,-79.98172
7,129,4,40.462757 ,-79.950674
7,15043,5,40.472873 ,-79.963886
8,13622,2,40.445819 ,-80.010855
8,7898,3,40.445550 ,-80.011337
8,6,3,40.409293 ,-79.914187
8,9982,3,40.428768 ,-79.964499
8,128,4,40.460639 ,-79.94718
8,12354,4,40.443791 ,-79.997166
8,4635,4,40.428876 ,-79.980169
8,2482,3,40.428666 ,-79.982864
8,2592,3,40.456823 ,-79.966497
8,2477,3,40.462206 ,-79.964425
8,181,4,40.489588 ,-79.872363
8,5244,4,40.446001 ,-79.9935
8,13324,4,40.440092 ,-80.002446
8,13570,4,40.429001 ,-79.9828
8,13379,5,40.489141 ,-79.893087
8,10490,4,40.447182 ,-80.021138
8,9246,4,40.494678 ,-79.933079
8,14925,4,40.409824 ,-80.085335
8,8202,3,40.448415 ,-80.00395
8,0,4,40.398074 ,-80.083386
8,4581,5,40.451655 ,-79.984218
8,2590,4,40.439302 ,-79.992971
8,2599,4,40.457182 ,-79.991475
8,4582,3,40.450111 ,-79.985875
8,13678,5,40.425741 ,-79.942019
8,14125,3,40.450947 ,-79.933861
8,7104,4,40.459885 ,-79.92445
8,13533,8,40.441037 ,-80.002765
8,15464,4,40.441031 ,-80.002945
8,8,3,40.408983 ,-79.914848
8,2613,4,40.434127 ,-80.00605
8,57,4,40.396012 ,-80.034727
8,109,4,40.443890 ,-79.99859
8,13832,10,40.443144 ,-80.001104
8,11906,4,36.124061 ,-115.167872
8,7208,4,36.121323 ,-115.174956
8,5107,3,36.124538 ,-115.172325
9,13281,4,40.472444 ,-79.963129
9,12878,2,40.459918 ,-79.925347
9,7443,3,40.452143 ,-79.934368
9,2474,4,40.474513 ,-79.957895
9,171,4,40.451201 ,-79.934585
9,7070,4,40.446587 ,-79.902277
9,10375,4,40.464530 ,-79.966074
9,129,4,40.462757 ,-79.950674
9,11210,4,40.477748 ,-79.957778
9,7252,4,40.471210 ,-79.959728
9,2521,5,40.438731 ,-80.019984
9,12964,3,40.457477 ,-79.928953
9,7394,5,40.476580 ,-79.921437
