用户,星级,链接
IPM416264262,50,一如既往的好，吃过以后含嘴里那个又麻又辣的感觉直串舌尖，让你回味无穷。过上几多时间，就会和朋友家人相约再来品尝。
84h6546546546,50,味道不错，服务也很好，推荐。
NKB80272680,50,超级好吃，来了很多次了。服务热情！
wYN315820551,50,服务热情     人很多
aRO560566464,10,服务比较差，坐下来半天没有人来招呼到水，中途叫了好几个服务员没人搭理，都吃完了才倒了两杯水服务真是差。
MIV842905412,50,环境很好，小妹妹服务态度也很好说话很温柔，环境也不错，味道
RME853970839,50,挺好的
刘亮ooo,50,服务很热情，菜品齐全，到位
yFc804617871,10,跟朋友吃完就拉肚子，第二天也不见好，太不干净了！！！
cyF904513638,40,环境好，服务态度好
人来狗往1,50,味道非常好
CocaCola437,20,环境有点不行，味道太一般，总体感觉一般
hyU776131351,50,好吃
twA133008914,50,还可以，味道是我喜欢的，
yjC673927238,50,还不错，去了很多次了味道可以，希望分量在多点就更好了
iXK835183318,50,很好，菜品丰富，味道不错
juzi85521,50,味道不错！
yjC673927238,50,吃了好多次了，还可以的
与你常伴,50,味道很好  值得回头
匿名用户,10,菜品太少了，不划算，真的太不划算了，↘️。。。。
VJq370044068,50,好得很
蓝色心情君,20,来吃过很多次了，还是很不错的，但是现在味道没有以前好了，让好评送盒纸，我没同意，不差那两块钱，好就是好，不好就不好，不喜欢昧着良心说话
Jki747580103,50,服务不错，很耐心，菜品比之前还好了！
安之若素app,10,菜品，口感，环境其实都还过得去。但是服务质量我是着实不敢恭维，我们在吃饭途中有一个小哥服务员时不时的来搅动我们的锅底。（如果整个店的文化都是这样我或许还能理解这是他的工作需要。但是只是在针对我们一桌在我看来非常没有礼貌且缺乏教养）
dxE852620000,50,还不错
mOg486542546,50,服务好，味道不错
rng475806150,50,来过好多次了，推荐朋友可以来品尝
Cbu679444512,50,好吃，带了五六个人吃的四人套餐再加点菜刚好
bbbb仔啊,50,味道好
mub642100066,50,经常来吃 总体感觉还可以
LLF584630206,50,口味很好
biF510281655,50,第三次吃，味道不错。
ijK356547011,50,环境干净整洁，味道很好
逛吃逛吃的甜蜜蜜,50,队友一起嗨
XHq515198897,50,环境很好，味道也不错，必须给五星好评。
utN339270922,50,物美价廉，好吃还不贵
飞鸟子丶,50,nice
aAD910915683,50,虽然我现在人在上海 可是好想念家乡的火锅 不知道下次回去还能不能吃到 川西坝子！你给我挺住了！
SMQ346333932,50,牛逼好吃
hKR441254682,50,好吃
Bux916483791,50,服务非常好，环境不错
OXK683352162,50,味道不错，菜品干净，服务态度好，十分满意，店里面环境也好
董晓草869,50,服务态度非常好，味道也好
周小鸭与马宇,50,味道还行
eoR779957799,50,味道不错，服务也很好
dYe657228774,50,环境很好哦，味道也好
明likeyou,50,很不错
nVN848310033,50,前台小姐姐和小哥哥都很热情！很满意！
Fmq127326286,50,超级赞的哦～嘻嘻嘻(♡˙︶˙♡)
vyL443479037,50,好
匿名用户,50,好吃
nZG216711873,50,非常满意
nvr387268540,10,没有想象中的好吃，服务员也不热情
tFw896320113,50,「#套餐：3-4 人套餐」味道棒极了
LH3759,50,美，非常美，相当可以
ZiT409027238,50,服务态度不错，我们经常在这里吃，味道可佳。
Uhj676042579,50,非常棒
szq415907833,50,服务周到，贴心
xyC117194498,50,味道，可以朋友推荐过来的
beR430287493,50,菜品不错
NSu629588954,10,自己拿着我手机扫码趁机点好评 被我发现退出来了 服务态度恶劣 全程坐那儿玩手机 味道极差 ！太垃圾了！不小心多点一个面没动还不给退气！再也不会来了！
匿名用户,10,服务员真的差劲，实在实在差劲，团了八人餐，总共16个菜，刚开始14个菜，给服务员说菜没上够，结果服务员过来摆着脸子说等会给你看一下；过一会过来数，数了半天，说上了14个，又查对了半天，期间各种不耐烦，我欠你的？？？然后呢，又过来一个服务员，数了半天，说是15个啊，一脸不悦，好，就算我刚开始数错了，但第一个服务员过来自己也数了，也数了14个，你现在数了15个就把责任都推给我？也不是在乎到底多少个，起码把你的脸色收起来谢谢，我们是来吃饭不是来看你脸子的。
猫宜,50,东西很好吃，朋友蛮喜欢的，下次还会来的
PQu417145411,40,菜比较新鲜，味道不错
Jpw584227950,50,环境好，服务好，下次再来。
匿名用户,50,满意
Vyi807639060,50,环境好 味道正宗
szq415907833,50,服务周到，人气很旺
PvC899783560,50,味道非常好
otK895787692,50,非常好
DFG483810358,50,【环境】
trl493674354,50,挺好的，
goT118913717,50,很好
zhouyongguang123,40,感觉不错！
匿名用户,50,还挺好吃的
匿名用户,10,服务太差了，再也不想来了，太差了，服务
sHP552781906,40,味道很不错
anglehx,40,环境也挺好的，上菜也挺快的，服务业很好，吃完之后身上的火锅味也不是很重，这是我最喜欢的
cAR901948500,50,菜品新鲜，味道也非常好
Sui395216153,50,味道不错
人如其人贺贺,50,服务好，口味也不错，值得一去。
