poi_id,177620769
用户,星级,链接
Iox569340068,5.0,太好吃了，经济实惠，一直不知道在哪里吃，在美团找了好多家，最后决定来这里，很好没让我失望，服务热情，上菜速度也很快，对于北京来说，这家餐厅既经济又实惠，菜量也很大
Ams237599062,5.0,羊肉和高钙羊肉不错都是现切的，涮肉烧炭火锅，比电的好，蔬菜拼盘量大，手工面不是火锅面很不错。吃完手机忘饭店，老板帮忙收好了。到店就能取回棒棒哒
guq965647121,5.0,很好
他她洋洋,5.0,招牌醒目，位于大马庄白记旁边，门口可以免费停车。店内有屏幕和设备，可以唱歌。菜品有羊蝎子、火锅、烧烤、炒菜等可以选择，我们团购的火锅3-4人餐，分量十足，一家三口足够吃，上菜速度很快，麻酱蘸料很好吃！
RwN167918432,5.0,老板很实在 羊肉片别人都是摆一排 这家摞三层青菜给了一筐  两个人吃的很嗨 根本吃不完 店里什么都有 从火锅羊蝎子到串串 再到烧烤 店很大 很有情怀 架了一个投影仪和音响可以唱歌 #高钙羊肉# #内蒙肥牛#
匿名用户,4.0,锅底不错，上菜速度很快，店家服务很好！环境不错，值得推荐！（美团试吃员）
NcT442981146,3.0,味道还不错   服务态度很好  可以来试一下
庄子爱红尘,5.0,抢到的超值啊，火锅味道很不错，到店又单点了一些蔬菜，3-4个人足够吃了，老板人也挺热情的，
Wrd0822,5.0,老板娘很热情，服务员很主动，菜品很好吃，秒杀券，很实惠，很给力！
hHm547003102,5.0,价格实惠，服务周到！
Vsc166148158,5.0,老板人讲究  菜品非常全  味道也非常棒
Jessica939393,4.0,
匿名用户,5.0,
匿名用户,5.0,
ma泽,4.0,
vDj218954795,4.0,
ueH536492422,5.0,
hry486474880,4.0,
Xuhongtaobao,4.0,
Jyp163002406,4.0,
poi_id,116715191
用户,星级,链接
小漪123,5.0,特别表扬刚进门带位的年轻帅哥服务员，第一次来也不耐烦受接待。送给了孩子小风扇。仔细介绍，服务周到。当面对孩子要睡觉，主动帮我们找到了宽阔的沙发就餐区。还有邻桌服务员帮忙孩子盖毯子。就餐时感觉也很好，食材也很新鲜。郭姐主动为我们提供服务，感谢啦！服务员唐桂萍东北大姐很热情❤️，会再来！
彩虹一岛,5.0,挺不错的，服务简直了，比一般的服务行业都要好，与海底捞有一拼，肉人服务员帮着涮的，不同肉不同时间，过生日还送了长寿面，每桌都可以免费取果盘
