区域,北京,餐饮类型,烧烤烤串,店铺id,4147527,店铺名称,金滏山自助烤肉（大成路店）,经度,116.255102,纬度,39.889762
用户,星级,评论
hRz922434872,4.0,比较不错的，经常来吃，品种比较多，服务热情
Z小公主1314,5.0,菜品不错味道很好经常光顾 #烤生蚝# #牛肉# #烤培根#
xie小伟,5.0,"总体还不错……
这个圆圆的不知道是啥，挺好吃"
匿名用户,5.0,好吃了，不错啊，净吃虾了，不错
哇哩呜咔,4.0,去了好几次了，每次去都吃的扶墙出来，口味很棒，菜品丰富，朋友每次过来我们都要去一次简直不要太爽，吃完溜溜达达回家，还是很舒服的，尤其是夏天的时候，空调很足，出不来吹着凉风和朋友散步，感觉很好
hRz922434872,4.0,非常不错，之前去吃了，服务也挺周到的，下次有机会还去
Snq714120456,1.0,味道一般，羊肉串不是真材实料，菜品种不多，团购和实体价位一样！！吃完胃疼了一小时，吃亏上当就一次
哇哩呜咔,5.0,来了好几次了，每次都是美团下单，价位合适，吃的舒服，服务态度也好
aAg950476716,5.0,很好
lVn180057929,3.0,吃不惯自主，最体可以，人挺多的
雨馨130,3.0,卫生很差，放碗的地方有小强，以后不会再去
匿名用户,5.0,前台小姐姐服务太度积极
rXe853075206,1.0,菜齁的很，所有物品都很咸，很难吃  ，烧麦类似的东西戳都戳不动，总之极差  没有最差
Scq100567407,5.0,去过好多了菜品不错，服务态度非常好
stephen520stella,5.0,味道不错
百里从来不守约,5.0,非常棒的用餐体验，忘记拍照了。
bDj364115560,3.0,特别一般，没什么特色，基本没什么服务
PXb363112139,5.0,不错不错，非常满意的一次体验。
VIPVIP1987,5.0,感觉比以前东西少了好多啊
匿名用户,3.0,服务态度很好，就是有点油腻哦！
匿名用户,3.0,还行吧，69元自助餐中的中上吧
vZg726921191,5.0,很好下次还在来
匿名用户,5.0,牛排觉得不太好，咬不动，别的菜品都挺好的
柠檬香2937,1.0,不怎么样，味道不好，品种单一，价格偏贵
mfW433631656,5.0,特别不错。。
qAP747277506,4.0,很不错，和朋友吃的走不动了
然后6,5.0,之前去过几次，不错，还可以还可以
yej163659387,1.0,差远啦，没几个菜，味道太一班啦，糕点还关啦
yej163659387,1.0,中午去的菜太少啦，西点都没开，没几样菜
再回到从前888,5.0,不错物美价廉
orv573951232,4.0,挺好吃的
匿名用户,2.0,可能去的有点晚，菜品几乎都没了，吃的真糟糕
匿名用户,4.0,还好吧！自助烤肉都差不多，我们两个人去吃的，前期吃的有点猛😔，导致后来就吃不了啥了，烤串没赶上，虾竟然也没吃，鸡翅还是挺好的，要说怎么吃，还是要循序渐进啊！下次去的时候，尽量吃的菜品多点，每样拿的少点就OK 了，整体嘛还是不错的！
蓝玥婷,5.0,味道一如既往的好，来了多次的老顾客了，鱼肉很好吃，我喜欢乌梅水对苏打水很好喝，西瓜不错每次都来两盘。炒菜和凉菜也不错，每次都吃的饱饱的。蛋糕也很好这次的巧克力的好吃奶油的奶油少点更好吃。鸡翅不错要慢慢烤容易糊，牛排有的时候咬不动可能是我烤老了吧，拉皮不错很喜欢每次都吃大拉皮。哈密瓜也不错超甜的。
力霸天的曾祖父,5.0,货超值，呵，下次再来。帮你做个广告，朋友们：这家店的货值。一个字！！值！！！
黎明L1,5.0,美食走一波，风雨无阻我对美味的心。另外有个漂亮大姐姐😄
A股永往直前,4.0,"四颗星，金滏山自助烤肉（大成路店）还是很赞的，值得推荐！ 地方就在大成路西口，一下公交就是，位置在三层。
东西比较全，来这家就是为了吃肉，所以上来就是拿了他家的不少肉类，牛肉五花肉和培根都非常好，就在烤串的旁边，哪得肉腌制的非常好吃。
其他的东西吃的比较少， https://w.meituan.com/s/default?mt_share_id=k1ywj4dssdfe&url=http%3A%2F%2Fi.meituan.com%2Fbrunch%2Ffeedback%2F1%2F614465859%3Futm_source%3Dappshare%26utm_fromapp%3Dcopy"
aSy281139356,1.0,"火锅要个小罩篱都说没有！服务还极差，不给调位！我抽我自己打嘴巴选这地儿了，吃亏上当就这一会！
别说85，45块钱都不值！"
