区域,北京,餐饮类型,火锅,店铺id,298462,店铺名称,东来顺（世界公园店）,经度,116.290989,纬度,39.813989
用户,星级,评论
匿名用户,4.0,离家很近，经常团购，就是盘子大肉少，比之前的肉少多了，环境不错，交通方便，停车也方便，服务还行，百叶比较嫩，烧饼超级好吃，老人一气吃了两个，团购套餐比单点，价格合适多了，所以想来的朋友别忘了要团购，总结这么多吧
无須終有,5.0,性价比高，团购更优惠，现在人也比较少。环境不错，菜品很丰富。
qAl870052395,5.0,服务相当一般，一个小伙子不错，其他的呵呵！吃到最后捞出一根头发，服务员知道了赶紧去换了一个麻酱，我们已经吃完了没要。告诉服务员其实头发是锅里捞出来的也没什么反应！走的时候跟一个领班样子的人说了一声，并且让她看了照片，也没有任何反应，其实就想让她说一声对不起下次注意！团购的挺实惠！还有糖蒜不知道放多久了，发红了！
TTy638858527,5.0,消毒很好 服务很到位口味很棒很喜欢
hss莎宝贝,1.0,吃不了的要个袋子收费。而且冻豆腐有点酸味，最主要的肉肯定不是羊肉。
DuG619633941,4.0,服务态度很好，但肉类品种选择性一般，都是常吃的种类，建议增加菜品种类
CTR583372716,1.0,价格贵，味道差，第一次，也是最后一次！再见
AxZ844232233,5.0,味道很好 菜量大 2人餐可以3个人吃饱
娟子75354,4.0,就是有盘肉有点老
匿名用户,5.0,店很干净，服务很好，味道也不错，推荐
糖果音符,5.0,很早之前了，好评
吃吃吃11213436,2.0,菜品一般般，然后味道不错，主要是不新鲜，肉类也不是特别好
gzailn,5.0,经常过来吃，服务很好，人很多很热闹，菜品很全，芝麻火烧挺好，推荐
匿名用户,1.0,服务员服务很不错。收银态度太差。
吃饱喝足的小小娃,5.0,东来顺吃过很多遍了。一样的味道，就是店里太忙了，每次都要叫很多次服务员才能叫到，超级喜欢麻将烧饼，我家宝宝也是超级爱
Rachealxu,5.0,"味道很满意 
老店了
量也很足"
zhuchirentianlu,1.0,疫情期间没主动提供公筷、服务意识太差
匿名用户,4.0,环境好 味道不错
匿名用户,5.0,味道特别好，量大，实惠，强烈推荐.
gcP826192416,5.0,服务周到，味道好
wxo218014908,3.0,菜不错，唯一美中不足的是蘸料不太好
jnd15148846,1.0,真得真的非常差，8个人，给安排到一个小房间，超级冷，给同事都冻感冒了。刚吃一会就停电了，好长时间才来，菜品难吃也不新鲜，现在真是就是越做越差，不会再来了。服务态度也不好
匿名用户,4.0,来北京第一次吃东来顺，很满意啊，美团很划算，就是后悔点了鸳鸯锅，清汤实在不适合我这爱吃辣的人，肉很新鲜，味道很不错，冬天吃火锅的好去处……
0坤0,5.0,请朋友吃饭
0坤0,5.0,和女儿用餐
张DA少,5.0,在北京吃上爽口的东来顺是很不错的，美团预定性价比超高，菜品两个人吃的撑到爆，值得推荐…………………………………………………………………………………………………………………………………………………………………………………………
匿名用户,4.0,都吃完一年多了，今天才想起来评论，当时两个人吃的，团购100左右，吃的挺好的
energyfz,5.0,这家店不错吃过三四次，羊肉纯正，味道挺正。
utV475517982,4.0,性价比很高，服务也不错，不愧是百年老店。
匿名用户,1.0,忽悠人的套餐，经常来吃，对这边比较熟悉。这团购的是领养的，到店消费点的是亲儿子，肉少盘小质量差，额外再点了两盘肉，以后不会再团购了。乖乖交钱吃点靠谱的。
hcT973536236,3.0,你家的豆浆是真心贵啊68元一壶感觉太坑了本来感觉店挺好最后一看账单豆浆68一壶是连壶也算上了吗
匿名用户,5.0,这家店很好，女朋友过生日，还专门送过来一碗长寿面，十分感谢
苏安妗,4.0,小姐姐很热心❤菜也很好吃，麻酱的味道一边让人想着要长胖一边伸出罪恶的筷子😋
pLv448675765,1.0,口味配不上牌子，价位倒是高端，服务也是醉了
匿名用户,3.0,菜品不错，服务也好，上菜快，服务生说有酸梅汤 本以为免费的，没想到结账的时候28元，心理有些不舒服，提醒就餐的朋友，一定要多问一嘴，避免本不该的支出。
nullParam,3.0,还不错，服务还可以，也不用等座
匿名用户,2.0,我去过好多次了。有的时候还行，有的时候真的不行啊，这次的菜真的不行啊。菜是蔫吧的，屋里还都是苍蝇边吃边轰苍蝇，菜和肉也不新鲜了。脏轰轰的。而且美团标的价格比他店里的菜单贵10--20不等
kyy康莹莹,1.0,服务态度非常差，好像很不待见团购券。服务员爱理不理 一副很不耐烦的样子。叫3次倒点水，服务员才慢腾腾的走过来。
WmF337329714,3.0,价格便宜味道不错环境干净卫生老北京的风格
Ejs159964872,2.0,没有想象中的那么好吃，挺失望的，真心地不咋地
匿名用户,1.0,服务员态度差，爱答不理。开发票金额和单子金额对不上，还不好好解释，态度极差！差评
匿名用户,1.0,肥肉太多，不好吃...没劲道....服务也一般...不划算
ZQl911955482,1.0,环境真的太差里，店里苍蝇乱飞，服务态度也一般，菜里出了头发服务员只是拿掉了头发，然后就没然后了，过了好半天喊服务员才换了一份，真是没谁了。
匿名用户,3.0,饭菜味道还可以，人挺多的，不错，还会来
rygyz,5.0,团购很实惠，来好多次了。
米米小小雪,1.0,因为是团购的，上的肉跟别的桌的颜色都不同，感觉像是好几天的，88的虾仁做的也不尽人意，然后服务员态度也不好，让收银员帮忙拿下在前台充电的手机，说了两遍才不耐烦的抬头，态度太差了，难道是因为附近有个景点，不差人流所以不注重口碑吗？呵呵了，一生黑。
匿名用户,2.0,服务态度真的不行，服务员懒懒散散的，爱搭不理，结账特别慢，开发票更慢，磨叽的很。
开花的蜗牛,4.0,还不错
匿名用户,2.0,【服务】服务员不少，服务的不太周到，进门没人照顾，坐下也没人管，点个汤最后才上，加个菜都很不情愿一样，有个男的服务态度不太好
zMV758915078,4.0,好好口味不错，环境不错，菜品丰富
匿名用户,4.0,很值得的东西，比较实惠，总体不错。
白先生_love,1.0,估计是因为公园附近，服务态度极差……
