区域,北京,餐饮类型,小龙虾,店铺id,164492687,店铺名称,辣家私厨小龙虾烧烤·耍牛欢串串香（北苑旗舰店）,经度,116.42737,纬度,40.03713
用户,星级,评论
LNbalabala,4.0,因为住附近所以经常在这家吃串串，味道还是不错的，这次也是疫情之后第一次吃，味道还是原来的味道，但是小龙虾套餐里的小龙虾没有以前多了，吃的不过瘾，他家的萝卜小菜很好吃，但是现在也没有了，吃的还是不错的。附上现在和以前的对比图
pMy418759259,1.0,失望！前有西贝减量，后有海底捞减量加涨价，耍牛欢更鸡贼！两个女孩吃的，签子上称显示156根，结账大姐以为我们没看见，直接把签子扔到桶里，跟我们说210根，我说我眼看着是156，结果大姐说是机子坏了！坏
匿名用户,4.0,酒水好贵，花蛤划算，去太晚了，没吃到串串
太上皇11,2.0,以后是不会去了
nIQ980472990,1.0,不好吃。吃完拉肚子。基本上边吃边拉。不建议去吃
nIQ980472990,1.0,不好吃 还贵
威廉七号街,5.0,好吃，服务也好
球球的遐想,4.0,主要是牛肉串串比较多，各种各样的牛肉串，喜欢吃秋葵牛肉，薄荷牛肉，还有虾，别的串串店一般没有这几种，服务业很到位。
啦啦嘿啦嘿啦,4.0,很好
生命旗舰,3.0,菜品还可以，环境一般，服务也一般，就是比较普通的店吧
用户,星级,评论
RSE103504847,5.0,鱼头味道很正宗，配菜也很新鲜，绿色叶菜是老板院里自家种的。老板娘人不错超热情，让去菜地自己拔菜带走。总之出来玩的高兴，吃的超也美味，带着新鲜的蔬菜心情美美哒返程了。下次重游一定会再来光顾的，祝老板生意兴隆！
匿名用户,5.0,「#套餐：2-3 人柴锅灶台胖头鱼」「#炸虾」锅底选的微辣的，很好吃很下饭，鲤鱼新鲜肉质绵密。大家吃的很开心，老板人很热情，很实在
_qqcht1400384330,5.0,密云水库旁边，第二次来了，周末带着家人来吃水库鱼，服务超级热情，鱼个大新鲜鲜香入味，一家人点了只8斤的胖头孩子超爱吃，下次周末溜达还来这里
197海,3.0,在渔街里，好多吃鱼的餐馆，这间只是其中之一。上菜速度不快，等了好久，没人收拾桌子。点餐时说套餐券可以用，菜没上齐又说不让用，搞的像是占多大便宜似的。像这种情况应该提前告知，我好选择在哪家餐馆就餐。鱼熟的挺快。不太愉快的就餐。
