区域,上海,餐饮类型,火锅,店铺id,61998,店铺名称,重庆临江门老火锅（七莘路店）,经度,121.34708,纬度,31.158077
用户,星级,评论时间,评论
匿名用户,5.0,2020-06-05 10:40:05,从去年到今年想吃火锅就去他们家，每次我们都吃鸳鸯锅，他们家的味道很足，下次想吃了，继续
ZJp963955836,5.0,2020-04-19 21:30:25,龙🦐还不错👌味道很好，小姐姐们的服务很棒，重点提一下 对于我这种选择综合症的人 不知道如何选择龙虾口味时 负责人 直接提出 可以每个口味来一斤
FUk994506586,2.0,2020-07-11 13:04:00,这次消费总体来说比较一般，提几点问题吧：口味一般，希望店家能有所改善。
乱炖大白菜,5.0,2020-07-21 10:43:54,离家很近，之前以为都是辣的，原来也有不辣的汤底，味道很好
一丝de甜美,5.0,2020-05-27 10:55:11,经常去吃的一家，
CHEN.RU.YI,5.0,2020-04-23 11:42:17,好吃好吃
匿名用户,1.0,2020-03-21 10:40:17,从美团上看人均消费挺低的，实际消费也不低，人均一百多，调料品种太少，太少了，
金牛牛,5.0,2020-01-11 10:41:46,这家去过三四次了，属于比较正宗的重庆火锅。团购价很优惠，毛肚，鸭肠，黄喉都还不错。牛羊肉都很新鲜。菜品分量也多，反正每次都会吃不下了打包。服务态度也很亲切周到。赠送的小食山楂片很开胃。
匿名用户,2.0,2020-01-16 07:19:46,价格一般吧，东西真的不好吃。一锅乱炖。半自助，拿东西要看服务员心情的。
匿名用户,3.0,2020-01-03 13:30:05,感觉一般般，菜品，牛肉感觉外面一层像面粉感觉，总之还行吧
匿名用户,2.0,2019-12-31 20:47:17,味道一般，但是上菜速度太慢了，等的快饿死了
gBl766724915,3.0,2019-12-12 07:32:40,服务一般，但是菜品还是可以的，特别喜欢他家的骨头🦴
FEb619516289,5.0,2019-11-24 12:21:06,菜品新鲜  味道好   服务也可以   性价比很高
tcY492151056,4.0,2019-11-20 11:49:10,价格优惠，活动时间可以，菜品不薄。。。。。。。。。。
能吃怪俺嘞,4.0,2019-10-27 22:03:41,不错，菜量很足
ytz667740386,5.0,2019-10-08 21:29:26,服务热情，菜的味道地道，尤其腐竹，店家说是他们的精品
匿名用户,4.0,2019-10-13 04:16:01,如果有雪碧就好了
呀ii啊秦,3.0,2019-10-04 07:56:56,有点贵，量少。。。。。。。。。
