区域,北京,餐饮类型,烧烤烤串,店铺id,42081214,店铺名称,韩时烤肉（枫蓝国际购物中心店）,经度,116.356607,纬度,39.952606
用户,星级,评论,,,,,,,,,
dWY138641903,5,服务赞，味道赞，氛围赞，满分好评！#鲜五花肉#,,,,,,,,,
BSz448764763,3,枫蓝国际店一如既往地好，家人吃的都很开心,,,,,,,,,
bHv958193994,4,服务员还帮忙给烤肉了  菜也很多  一大桌子  反正跟男朋友两个人吃不完的   很喜欢  下次还会过去哒～,,,,,,,,,
bHv958193994,5,服务员还帮忙给烤肉了  菜也很多  一大桌子  反正跟男朋友两个人吃不完的   很喜欢  下次还会过去哒～,,,,,,,,,
匿名用户,5,味道很好吃，服务周到极了。南瓜羹不限量很好喝。下次还去。,,,,,,,,,
Susie6Jack,5,好吃好吃，来了几次了，次次都很满意，南瓜粥好喝的不得了，五花肉我的最爱，夹着辣白菜就这大酱用生菜卷着超好吃，牛肉蘑菇用汤料泡好了就这大蒜烤有一种海鲜的味道，好吃的不得了。米糕拉面汤水利落面条劲道，入口绵软，好吃。,,,,,,,,,
bHv958193994,5,已经是第N次去了，因为离家近，从开业已经是忠实的老顾客了，在石板上比较独特，再加上团购很实惠，搭配的也很讲究。,,,,,,,,,
bHv958193994,5,服务态度好，免费赠送小菜，南瓜粥还可以一直续加，辣白菜炒饭多放紫菜很赞哦！杂酱面，炒年糕也棒棒哒,,,,,,,,,
zcl.meituan,4,烤肉很好吃，南瓜粥很棒，还能无限供应。小菜再多点就好啦。,,,,,,,,,
rose_cyan,4,因为是周末来就餐的，人员比较多，排队等了一会，团的2-3人餐，菜品很不错，味道挺好的，尤其是泡菜炒饭，本人非常喜爱，这里的服务也相当好，这边商场装修后还是第一次过来这边就餐，留下很好的印象，下次肯定还会光顾。赞一个,,,,,,,,,
iPc543321800,4,口味好，每次来点二人套餐都吃不完，喜欢这的小菜，尤其土豆沙拉,,,,,,,,,
BGs435862162,4,还是原来的味道，大拌菜，烤肉，还有泡菜汤，都是我喜欢的,,,,,,,,,
bHv958193994,5,服务真的很周到，手机落到这里，服务员追到我们门外，非常感谢，菜品口味也很正宗，离公司很近，以后会经常来,,,,,,,,,
匿名用户,4,环境好，服务好，菜品也好。。。,,,,,,,,,
独游,4,服务好，味道好，环境好，全都好,,,,,,,,,
